team,date,time,home-away,type,event,site,subsite,result,score,canceled
girls-volleyball-junior-varsity,2023-09-19,5:30 PM,H,League,Brookline High School,Needham High School,A Gym,,,
boys-cross-country-varsity,2023-09-20,4:00 PM,H,League,Brookline High School,Cutler Park,,,,
girls-cross-country-varsity,2023-09-20,4:00 PM,H,League,Brookline High School,Cutler Park,,W,24-37,
coed-field-hockey-freshman,2023-09-20,4:00 PM,A,League,Walpole High School,Walpole High School,Grass Field Hockey Field,,,
coed-field-hockey-varsity,2023-09-20,4:00 PM,H,League,Walpole High School,DeFazio Complex,Turf #1 Founders,L,1-4,
coed-field-hockey-middle-school-1,2023-09-20,4:00 PM,H,Game,Needham 2,Pollard Middle School,Field,,,
coed-field-hockey-middle-school-2,2023-09-20,4:00 PM,H,Game,Needham 1,Pollard Middle School,Field,,,
boys-soccer-freshman,2023-09-20,4:00 PM,A,League,Walpole High School,Bird Middle School (Walpole),,,,
girls-soccer-freshman,2023-09-20,4:00 PM,H,League,Walpole High School,Cricket Field,Field #1,,,
girls-volleyball-middle-school-blue,2023-09-20,4:00 PM,H,Match,Weston Middle School,Weston Middle School,Gym,,,
girls-volleyball-middle-school-gold,2023-09-20,4:00 PM,A,Match,Wellesley Middle School,Wellesley Middle School,Gym,,,
coed-field-hockey-junior-varsity,2023-09-20,5:15 PM,H,League,Walpole High School,DeFazio Complex,Turf #1 Founders,,,
boys-golf-varsity,2023-09-21,3:30 PM,A,League,Newton North High School,Brae Burn Country Club,Golf Course,L,82-90,
boys-soccer-junior-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,DeFazio Complex,Conroy Grass,,,
boys-soccer-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,DeFazio Complex,Turf #2 Brock,W,6-0,
girls-soccer-junior-varsity,2023-09-21,4:00 PM,A,League,Braintree High School,Braintree High School,Junior Varsity Field,,-,
girls-soccer-varsity,2023-09-21,4:00 PM,A,League,Braintree High School,Braintree High School,Alumni Stadium,T,0-0,
girls-volleyball-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,Needham High School,A Gym,W,3-0,
girls-volleyball-middle-school-blue,2023-09-21,4:00 PM,A,Match,Pierce Middle School (Milton),Pierce Middle School,Gym,,,
girls-volleyball-freshman,2023-09-21,5:30 PM,H,League,Braintree High School,Needham High School,B Gym,,,
girls-volleyball-junior-varsity,2023-09-21,5:30 PM,H,League,Braintree High School,Needham High School,A Gym,,,
coed-field-hockey-varisty,2023-09-22,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
boys-soccer-freshman,2023-09-22,4:00 PM,A,League,Brookline High School,Brookline Avenue Playground,,,,
coed-football-freshman,2023-09-22,4:00 PM,H,League,Newton North High School,Needham Memorial Park,High School Turf,,,
girls-volleyball-freshman,2023-09-22,4:00 PM,H,Non-League,Barnstable High School,Needham High School,B Gym,,,
girls-volleyball-junior-varsity,2023-09-22,4:00 PM,H,Non-League,Barnstable High School,Needham High School,A Gym,,,
girls-volleyball-middle-school-gold,2023-09-22,4:00 PM,H,Match,Wellesley Middle School,Wellesley Middle School,Gym,,,
coed-field-hockey-junior-varsity,2023-09-22,5:15 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
girls-volleyball-varsity,2023-09-22,5:30 PM,H,Non-League,Barnstable High School,Needham High School,A Gym,,,
coed-football-varsity,2023-09-22,6:00 PM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,,,
coed-football-junior-varsity,2023-09-23,10:00 AM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,,,
boys-soccer-varsity,2023-09-23,10:00 AM,A,Non-League,St.Johns Preparatory School,Concord Carlisle High School,Doug White Turf #1,,,
cross-country-girls,2023-09-23,9:00 AM,A,Non-League,Manchester Invite,Derryfield Park (Manchester, NH),,,,
